diffusion
conform
normative
innovation
institutionalize
rationalized
coercion
legitimacy
norms
ceremonial
cultural
imitate
mimetic
coercive
professional
ritual
isomorphic
decouple
decoupled
conformity
isomorphism
institutional
diffuse
norm
rationalize
legitimation
imitation
profession
legitimate
legitimated
institutionalized
legitimating
dimaggio_powell
legitimized
legitimize
legitimizing
conforming
taken_granted
regulative
institutional_isomorphism
