,term,cosine_sim_with_core, closest_terms_from_core
21,decentralization,0.1781024,"[('diversification', 0.42112287878990173), ('control', 0.3338186740875244), ('influence', 0.30717796087265015)]"
22,decentralized,0.19074954,"[('control', 0.35847464203834534), ('interdependent', 0.3124092221260071), ('influence', 0.28876736760139465)]"
23,dependence,0.24882554,"[('dependence', 1.000000238418579), ('dependent', 0.5594958066940308), ('interdependence', 0.46155479550361633)]"
24,dependencies,0.20191894,"[('dependence', 0.450342059135437), ('interdependence', 0.4066186249256134), ('dependent', 0.323443204164505)]"
25,dependency,0.2181476,"[('dependence', 0.7027534246444702), ('dependent', 0.47233736515045166), ('exchange', 0.3519522249698639)]"
26,dependent,0.21120836,"[('dependent', 1.0), ('dependence', 0.5594958066940308), ('interdependent', 0.421542763710022)]"
27,diversification,0.23409036,"[('diversification', 1.0000001192092896), ('diversify', 0.5294159650802612), ('merger', 0.35802167654037476)]"
28,diversify,0.20999745,"[('diversify', 0.9999998807907104), ('diversification', 0.5294159650802612), ('merger', 0.27251094579696655)]"
29,dominance,0.18530788,"[('dominance', 1.0), ('influence', 0.3341313898563385), ('control', 0.28972363471984863)]"
30,exchange,0.23593946,"[('exchange', 1.0), ('cooperation', 0.38318362832069397), ('interdependence', 0.36002808809280396)]"
31,exchanges,0.20347007,"[('exchange', 0.6466988921165466), ('cooperation', 0.4278498888015747), ('interdependence', 0.369636207818985)]"
32,external,0.24148317,"[('external', 1.0), ('control', 0.42903411388397217), ('dependence', 0.38912272453308105)]"
33,horizontal,0.18870576,"[('horizontal', 1.0), ('vertical', 0.7679985761642456), ('interdependence', 0.28550177812576294)]"
34,influence,0.24641922,"[('influence', 0.9999998211860657), ('control', 0.49195873737335205), ('dominance', 0.3341313898563385)]"
35,interdependence,0.2785367,"[('interdependence', 1.0000001192092896), ('interdependent', 0.6027525067329407), ('cooperation', 0.5219292640686035)]"
36,interdependent,0.2590337,"[('interdependent', 0.9999998807907104), ('interdependence', 0.6027525067329407), ('dependent', 0.421542763710022)]"
37,interlock,0.20596336,"[('interlock', 0.9999999403953552), ('interlocking', 0.4837372303009033), ('director_interlocks', 0.438427209854126)]"
38,interlocked,0.21841873,"[('interlock', 0.4730973541736603), ('interlocking', 0.43881934881210327), ('director_interlocks', 0.39487671852111816)]"
