,term,cosine_sim_with_core, closest_terms_from_core
0,board_directors,0.23994508,"[('board_directors', 0.9999997615814209), ('joint_venture', 0.36478590965270996), ('interlocking', 0.36391597986221313)]"
1,buffer,0.15315878,"[('buffer', 1.0), ('external', 0.2465878129005432), ('control', 0.23455382883548737)]"
2,coalition,0.23574935,"[('coalition', 1.0), ('cooperate', 0.3455292284488678), ('cooperation', 0.34185248613357544)]"
3,constrain,0.21917102,"[('constrain', 1.0), ('constraint', 0.4169537425041199), ('influence', 0.4065665900707245)]"
4,constraint,0.23597147,"[('constraint', 0.9999997615814209), ('constrain', 0.4169537425041199), ('control', 0.32681918144226074)]"
5,control,0.2949569,"[('control', 1.0), ('influence', 0.4983532428741455), ('external', 0.44733431935310364)]"
6,cooperate,0.23828813,"[('cooperate', 0.9999998211860657), ('cooperation', 0.6699031591415405), ('coalition', 0.3455292284488678)]"
7,cooperation,0.27386802,"[('cooperation', 0.9999998807907104), ('cooperate', 0.6699031591415405), ('interdependence', 0.5235845446586609)]"
8,dependence,0.27816904,"[('dependence', 1.0), ('dependent', 0.5887736082077026), ('interdependence', 0.47718799114227295)]"
9,dependent,0.24065505,"[('dependent', 1.0), ('dependence', 0.5887736082077026), ('interdependent', 0.39549189805984497)]"
10,director_interlocks,0.24922323,"[('director_interlocks', 1.0000001192092896), ('resource_dependence', 0.45688503980636597), ('interlock', 0.44794726371765137)]"
11,diversification,0.25911045,"[('diversification', 0.9999999403953552), ('diversify', 0.5892391204833984), ('merger', 0.4806649088859558)]"
12,diversify,0.25530043,"[('diversify', 1.0), ('diversification', 0.5892391204833984), ('merge', 0.32103389501571655)]"
13,dominance,0.23937371,"[('dominance', 1.0), ('interdependence', 0.3591073453426361), ('interlocking', 0.3557952642440796)]"
14,exchange,0.25400198,"[('exchange', 0.9999999403953552), ('dependence', 0.3761046528816223), ('interdependence', 0.3638036549091339)]"
15,external,0.2777993,"[('external', 1.0), ('resource_dependence', 0.5138654708862305), ('control', 0.44733431935310364)]"
