,term,cosine_sim_with_core, closest_terms_from_core
18,cooperate,0.18239303,"[('cooperate', 1.0), ('cooperation', 0.5604329109191895), ('interdependence', 0.26491236686706543)]"
19,cooperation,0.2499566,"[('cooperation', 1.0000001192092896), ('cooperate', 0.5604329109191895), ('interdependence', 0.5219292640686035)]"
20,cooperative,0.19960365,"[('cooperation', 0.5839540958404541), ('cooperate', 0.409151554107666), ('interdependent', 0.3420490026473999)]"
21,decentralization,0.1830261,"[('diversification', 0.42112287878990173), ('power', 0.33864378929138184), ('control', 0.3338186740875244)]"
22,decentralized,0.2024866,"[('control', 0.35847464203834534), ('network', 0.33944687247276306), ('network', 0.33944687247276306)]"
23,dependence,0.24748738,"[('dependence', 1.000000238418579), ('dependent', 0.5594958066940308), ('interdependence', 0.46155479550361633)]"
24,dependencies,0.20645021,"[('dependence', 0.450342059135437), ('interdependence', 0.4066186249256134), ('dependent', 0.323443204164505)]"
25,dependency,0.22144152,"[('dependence', 0.7027534246444702), ('dependent', 0.47233736515045166), ('exchange', 0.3519522249698639)]"
26,dependent,0.20946276,"[('dependent', 1.0), ('dependence', 0.5594958066940308), ('interdependent', 0.421542763710022)]"
27,diversification,0.2282217,"[('diversification', 1.0000001192092896), ('diversify', 0.5294159650802612), ('merger', 0.35802167654037476)]"
28,diversify,0.2075204,"[('diversify', 0.9999998807907104), ('diversification', 0.5294159650802612), ('merger', 0.27251094579696655)]"
29,dominance,0.1965154,"[('dominance', 1.0), ('power', 0.43484652042388916), ('influence', 0.3341313898563385)]"
30,exchange,0.24711485,"[('exchange', 1.0), ('network', 0.407797634601593), ('network', 0.407797634601593)]"
31,exchanges,0.21034522,"[('exchange', 0.6466988921165466), ('cooperation', 0.4278498888015747), ('interdependence', 0.369636207818985)]"
32,external,0.2430639,"[('external', 1.0), ('control', 0.42903411388397217), ('dependence', 0.38912272453308105)]"
33,horizontal,0.19045056,"[('horizontal', 1.0), ('vertical', 0.7679985761642456), ('interdependence', 0.28550177812576294)]"
34,influence,0.2645988,"[('influence', 0.9999998211860657), ('power', 0.5351159572601318), ('control', 0.49195873737335205)]"
35,interdependence,0.27908248,"[('interdependence', 1.0000001192092896), ('interdependent', 0.6027525067329407), ('cooperation', 0.5219292640686035)]"
36,interdependent,0.25979134,"[('interdependent', 0.9999998807907104), ('interdependence', 0.6027525067329407), ('dependent', 0.421542763710022)]"
37,interlock,0.20961788,"[('interlock', 0.9999999403953552), ('interlocking', 0.4837372303009033), ('director_interlocks', 0.438427209854126)]"
38,interlocked,0.22685835,"[('interlock', 0.4730973541736603), ('interlocking', 0.43881934881210327), ('network', 0.4223279058933258)]"
39,interlocking,0.24401437,"[('interlocking', 1.0), ('director_interlocks', 0.49176302552223206), ('interlock', 0.4837372303009033)]"
40,interlocks,0.22524345,"[('interlock', 0.6410807967185974), ('interlocking', 0.6024423837661743), ('director_interlocks', 0.5542486906051636)]"
41,joint_venture,0.1908064,"[('joint_venture', 0.9999997615814209), ('diversification', 0.2969609200954437), ('interlock', 0.29481223225593567)]"
42,joint_ventures,0.21337216,"[('joint_venture', 0.6758115291595459), ('diversification', 0.4022556245326996), ('interlock', 0.330332487821579)]"
43,linkages,0.24511248,"[('network', 0.5020950436592102), ('network', 0.5020950436592102), ('director_interlocks', 0.4289794862270355)]"
44,links,0.24139653,"[('network', 0.46272557973861694), ('network', 0.46272557973861694), ('horizontal', 0.36509841680526733)]"
45,merge,0.17200632,"[('merge', 0.9999998807907104), ('merged', 0.35488760471343994), ('merger', 0.2761955261230469)]"
46,merged,0.16213244,"[('merged', 0.9999998807907104), ('merger', 0.35935312509536743), ('merge', 0.35488760471343994)]"
47,merger,0.21367666,"[('merger', 1.0), ('merged', 0.35935312509536743), ('diversification', 0.35802167654037476)]"
48,mergers,0.19077978,"[('merger', 0.5759999752044678), ('diversification', 0.4316678047180176), ('merged', 0.2954266667366028)]"
49,vertical,0.1929916,"[('vertical', 1.000000238418579), ('horizontal', 0.7679985761642456), ('interdependence', 0.2748362123966217)]"
