,term,cosine_sim_with_core, closest_terms_from_core
0,board_directors,0.2524187,"[('board_directors', 1.0), ('interlock', 0.36221104860305786), ('merger', 0.3564710021018982)]"
1,buffer,0.1666723,"[('buffer', 1.0), ('pressure', 0.3179715871810913), ('control', 0.2764893174171448)]"
2,coalition,0.23253815,"[('coalition', 0.9999999403953552), ('cooperation', 0.3528822660446167), ('board_directors', 0.32888901233673096)]"
3,constrain,0.23161808,"[('constrain', 1.0), ('influence', 0.42979997396469116), ('constraint', 0.39126765727996826)]"
4,constraint,0.25024188,"[('constraint', 0.9999998807907104), ('constrain', 0.39126765727996826), ('network', 0.36269670724868774)]"
5,control,0.31672487,"[('control', 1.0), ('power', 0.5450859069824219), ('influence', 0.539639949798584)]"
6,cooperate,0.23293273,"[('cooperate', 1.0), ('cooperation', 0.652873158454895), ('merge', 0.3475339114665985)]"
7,cooperation,0.31357813,"[('cooperation', 1.0000001192092896), ('cooperate', 0.652873158454895), ('interdependence', 0.5931037664413452)]"
8,dependence,0.28279334,"[('dependence', 0.9999998807907104), ('dependent', 0.5880993604660034), ('interdependence', 0.4406949281692505)]"
9,dependent,0.23745085,"[('dependent', 1.0000001192092896), ('dependence', 0.5880993604660034), ('interdependent', 0.4230368137359619)]"
10,director_interlocks,0.24958512,"[('director_interlocks', 0.9999998211860657), ('interlock', 0.4450061321258545), ('influence', 0.3708748519420624)]"
11,diversification,0.26827797,"[('diversification', 1.0), ('diversify', 0.5757710933685303), ('merger', 0.43169257044792175)]"
12,diversify,0.23327158,"[('diversify', 1.0), ('diversification', 0.5757710933685303), ('merge', 0.308508038520813)]"
13,dominance,0.23608406,"[('dominance', 1.000000238418579), ('power', 0.452447772026062), ('dependence', 0.4080445468425751)]"
14,exchange,0.28491476,"[('exchange', 0.9999998807907104), ('cooperation', 0.46018028259277344), ('network', 0.4312087893486023)]"
15,external,0.30110323,"[('external', 0.9999997615814209), ('resource_dependence', 0.47198960185050964), ('control', 0.4377426505088806)]"
16,horizontal,0.287594,"[('horizontal', 1.0), ('vertical', 0.8164341449737549), ('interdependence', 0.4223831593990326)]"
17,influence,0.3333502,"[('influence', 1.0), ('power', 0.5655266642570496), ('control', 0.539639949798584)]"
18,interdependence,0.32872424,"[('interdependence', 0.9999999403953552), ('interdependent', 0.6984868049621582), ('cooperation', 0.5931037664413452)]"
19,interdependent,0.2798186,"[('interdependent', 0.9999997019767761), ('interdependence', 0.6984868049621582), ('dependent', 0.4230368137359619)]"
20,interlock,0.26058125,"[('interlock', 0.9999997615814209), ('interlocking', 0.45881667733192444), ('director_interlocks', 0.4450061321258545)]"
21,interlocking,0.25407377,"[('interlocking', 1.0), ('interlock', 0.45881667733192444), ('resource_dependence', 0.4304240942001343)]"
22,joint_venture,0.254562,"[('joint_venture', 1.0000001192092896), ('cooperation', 0.42291489243507385), ('merger', 0.3733293414115906)]"
23,merge,0.22259493,"[('merge', 1.0), ('merged', 0.5718948245048523), ('merger', 0.5048785209655762)]"
24,merged,0.18610501,"[('merged', 0.9999997615814209), ('merge', 0.5718948245048523), ('merger', 0.5354484915733337)]"
25,merger,0.27192977,"[('merger', 1.0), ('merged', 0.5354484915733337), ('merge', 0.5048785209655762)]"
26,network,0.35161266,"[('network', 1.0), ('network', 1.0), ('interdependence', 0.4494783878326416)]"
27,network,0.35161266,"[('network', 1.0), ('network', 1.0), ('interdependence', 0.4494783878326416)]"
28,power,0.32533467,"[('power', 1.0000001192092896), ('influence', 0.5655266642570496), ('control', 0.5450859069824219)]"
29,pressure,0.22754246,"[('pressure', 0.9999997615814209), ('external', 0.39428186416625977), ('influence', 0.3678678274154663)]"
30,resource_dependence,0.31008133,"[('resource_dependence', 0.9999998807907104), ('external', 0.47198960185050964), ('interlocking', 0.4304240942001343)]"
31,sanction,0.18929374,"[('sanction', 0.9999999403953552), ('cooperate', 0.329739511013031), ('cooperation', 0.29919883608818054)]"
32,vertical,0.29050478,"[('vertical', 1.0), ('horizontal', 0.8164341449737549), ('network', 0.4034119248390198)]"
0,acquisition,0.27240974,"[('merger', 0.5651440620422363), ('joint_venture', 0.4974963665008545), ('diversification', 0.48253926634788513)]"
1,acquisitions,0.25230065,"[('merger', 0.6002286672592163), ('diversification', 0.5382306575775146), ('joint_venture', 0.4700867533683777)]"
2,alliance,0.295349,"[('joint_venture', 0.5910292863845825), ('network', 0.5011457800865173), ('network', 0.5011457800865173)]"
3,alliances,0.2954763,"[('joint_venture', 0.5889792442321777), ('cooperation', 0.49465686082839966), ('network', 0.49127858877182007)]"
4,board_directors,0.2524187,"[('board_directors', 1.0), ('interlock', 0.36221104860305786), ('merger', 0.3564710021018982)]"
5,board_interlocks,0.2649256,"[('director_interlocks', 0.54166179895401), ('interlock', 0.5346825122833252), ('resource_dependence', 0.4641883969306946)]"
6,boards_directors,0.2507576,"[('board_directors', 0.693463146686554), ('resource_dependence', 0.4683253765106201), ('director_interlocks', 0.40847456455230713)]"
7,coalition,0.23253815,"[('coalition', 0.9999999403953552), ('cooperation', 0.3528822660446167), ('board_directors', 0.32888901233673096)]"
8,coalitions,0.25527596,"[('coalition', 0.7538400888442993), ('cooperation', 0.4271976351737976), ('cooperate', 0.36286118626594543)]"
9,collaboration,0.28493872,"[('cooperation', 0.6808446645736694), ('interdependence', 0.4895871877670288), ('cooperate', 0.43181076645851135)]"
10,connections,0.24685198,"[('network', 0.49475976824760437), ('network', 0.49475976824760437), ('interlocking', 0.42485368251800537)]"
11,constrain,0.23161808,"[('constrain', 1.0), ('influence', 0.42979997396469116), ('constraint', 0.39126765727996826)]"
12,constraint,0.25024188,"[('constraint', 0.9999998807907104), ('constrain', 0.39126765727996826), ('network', 0.36269670724868774)]"
13,control,0.31672487,"[('control', 1.0), ('power', 0.5450859069824219), ('influence', 0.539639949798584)]"
14,cooperate,0.23293273,"[('cooperate', 1.0), ('cooperation', 0.652873158454895), ('merge', 0.3475339114665985)]"
15,cooperation,0.31357813,"[('cooperation', 1.0000001192092896), ('cooperate', 0.652873158454895), ('interdependence', 0.5931037664413452)]"
16,cooperative,0.27366734,"[('cooperation', 0.7019381523132324), ('cooperate', 0.5527472496032715), ('interdependence', 0.48217064142227173)]"
17,decentralized,0.24565527,"[('vertical', 0.41424092650413513), ('horizontal', 0.40661942958831787), ('interdependent', 0.3889894187450409)]"
18,dependence,0.28279334,"[('dependence', 0.9999998807907104), ('dependent', 0.5880993604660034), ('interdependence', 0.4406949281692505)]"
19,dependencies,0.25745282,"[('interdependence', 0.5179963111877441), ('dependence', 0.4873172640800476), ('interdependent', 0.42415258288383484)]"
20,dependent,0.23745085,"[('dependent', 1.0000001192092896), ('dependence', 0.5880993604660034), ('interdependent', 0.4230368137359619)]"
21,diversification,0.26827797,"[('diversification', 1.0), ('diversify', 0.5757710933685303), ('merger', 0.43169257044792175)]"
22,diversify,0.23327158,"[('diversify', 1.0), ('diversification', 0.5757710933685303), ('merge', 0.308508038520813)]"
23,dominance,0.23608406,"[('dominance', 1.000000238418579), ('power', 0.452447772026062), ('dependence', 0.4080445468425751)]"
24,exchange,0.28491476,"[('exchange', 0.9999998807907104), ('cooperation', 0.46018028259277344), ('network', 0.4312087893486023)]"
25,external,0.30110323,"[('external', 0.9999997615814209), ('resource_dependence', 0.47198960185050964), ('control', 0.4377426505088806)]"
26,flows,0.2609193,"[('network', 0.486892968416214), ('network', 0.486892968416214), ('vertical', 0.4325990378856659)]"
27,governance_mechanisms,0.2512113,"[('cooperation', 0.4088706374168396), ('board_directors', 0.3939608335494995), ('director_interlocks', 0.35251373052597046)]"
28,governance_structures,0.26927245,"[('resource_dependence', 0.4231422245502472), ('vertical', 0.38184642791748047), ('cooperation', 0.38047727942466736)]"
29,horizontal,0.287594,"[('horizontal', 1.0), ('vertical', 0.8164341449737549), ('interdependence', 0.4223831593990326)]"
30,influence,0.3333502,"[('influence', 1.0), ('power', 0.5655266642570496), ('control', 0.539639949798584)]"
31,interdependence,0.32872424,"[('interdependence', 0.9999999403953552), ('interdependent', 0.6984868049621582), ('cooperation', 0.5931037664413452)]"
32,interdependent,0.2798186,"[('interdependent', 0.9999997019767761), ('interdependence', 0.6984868049621582), ('dependent', 0.4230368137359619)]"
33,interlock,0.26058125,"[('interlock', 0.9999997615814209), ('interlocking', 0.45881667733192444), ('director_interlocks', 0.4450061321258545)]"
34,interlocking,0.25407377,"[('interlocking', 1.0), ('interlock', 0.45881667733192444), ('resource_dependence', 0.4304240942001343)]"
35,interlocks,0.2637588,"[('interlock', 0.6737971305847168), ('director_interlocks', 0.5845274925231934), ('interlocking', 0.4844943881034851)]"
36,interorganizational_networks,skip,skip
37,joint_venture,0.254562,"[('joint_venture', 1.0000001192092896), ('cooperation', 0.42291489243507385), ('merger', 0.3733293414115906)]"
38,joint_ventures,0.25366825,"[('joint_venture', 0.8551133871078491), ('cooperation', 0.4650686979293823), ('diversification', 0.39759448170661926)]"
39,link,0.25790846,"[('network', 0.42177826166152954), ('network', 0.42177826166152954), ('influence', 0.39114776253700256)]"
40,linkages,0.29443902,"[('network', 0.4818423092365265), ('network', 0.4818423092365265), ('interdependence', 0.47548365592956543)]"
41,merge,0.22259493,"[('merge', 1.0), ('merged', 0.5718948245048523), ('merger', 0.5048785209655762)]"
42,merged,0.18610501,"[('merged', 0.9999997615814209), ('merge', 0.5718948245048523), ('merger', 0.5354484915733337)]"
43,merger,0.27192977,"[('merger', 1.0), ('merged', 0.5354484915733337), ('merge', 0.5048785209655762)]"
44,mergers,0.2591714,"[('merger', 0.7933533191680908), ('diversification', 0.5097752809524536), ('resource_dependence', 0.460732638835907)]"
45,networking,0.25616434,"[('network', 0.5351930260658264), ('network', 0.5351930260658264), ('cooperation', 0.4330019950866699)]"
46,resource_dependence,0.31008133,"[('resource_dependence', 0.9999998807907104), ('external', 0.47198960185050964), ('interlocking', 0.4304240942001343)]"
47,resource_dependencies,0.26009643,"[('resource_dependence', 0.5642200708389282), ('external', 0.40756773948669434), ('director_interlocks', 0.38066819310188293)]"
48,vertical,0.29050478,"[('vertical', 1.0), ('horizontal', 0.8164341449737549), ('network', 0.4034119248390198)]"
49,vertically_integrated,0.25449574,"[('vertical', 0.49230778217315674), ('horizontal', 0.4248111844062805), ('network', 0.38748690485954285)]"
