,term,cosine_sim_with_core, closest_terms_from_core
0,board_directors,0.2492969,"[('board_directors', 1.0), ('director_interlocks', 0.3823855221271515), ('interlock', 0.3735746145248413)]"
1,buffer,0.1639895,"[('buffer', 0.9999999403953552), ('external', 0.2986469864845276), ('pressure', 0.29111647605895996)]"
2,coalition,0.22594878,"[('coalition', 1.0000001192092896), ('cooperate', 0.36079734563827515), ('cooperation', 0.34516996145248413)]"
3,constrain,0.23067984,"[('constrain', 0.9999998807907104), ('influence', 0.45987293124198914), ('constraint', 0.42804691195487976)]"
4,constraint,0.2436345,"[('constraint', 1.0000001192092896), ('constrain', 0.42804691195487976), ('network', 0.3913898468017578)]"
5,control,0.3210937,"[('control', 0.9999998211860657), ('influence', 0.5555785894393921), ('power', 0.5009723901748657)]"
6,cooperate,0.24782701,"[('cooperate', 1.0000001192092896), ('cooperation', 0.6586781144142151), ('interdependent', 0.37523913383483887)]"
7,cooperation,0.30377945,"[('cooperation', 1.0), ('cooperate', 0.6586781144142151), ('interdependence', 0.5594786405563354)]"
8,dependence,0.29903445,"[('dependence', 0.9999998807907104), ('interdependence', 0.5595159530639648), ('dependent', 0.5505732893943787)]"
9,dependent,0.25377256,"[('dependent', 1.000000238418579), ('dependence', 0.5505732893943787), ('interdependent', 0.44223302602767944)]"
10,director_interlocks,0.24161641,"[('director_interlocks', 0.9999999403953552), ('interlock', 0.5524343252182007), ('board_directors', 0.3823855221271515)]"
11,diversification,0.27306986,"[('diversification', 0.9999999403953552), ('diversify', 0.5346834063529968), ('control', 0.3384990692138672)]"
12,diversify,0.20537129,"[('diversify', 1.0000001192092896), ('diversification', 0.5346834063529968), ('merge', 0.28526052832603455)]"
13,dominance,0.2412337,"[('dominance', 1.0), ('power', 0.5162322521209717), ('dependence', 0.3577198088169098)]"
14,exchange,0.26759273,"[('exchange', 1.0), ('cooperation', 0.49784308671951294), ('interdependence', 0.4159191846847534)]"
15,external,0.30704823,"[('external', 0.9999998211860657), ('influence', 0.47327500581741333), ('control', 0.4527829587459564)]"
16,horizontal,0.26448956,"[('horizontal', 0.9999998807907104), ('vertical', 0.8157654404640198), ('interdependence', 0.40439629554748535)]"
17,influence,0.32477638,"[('influence', 0.9999998807907104), ('control', 0.5555785894393921), ('power', 0.5499494075775146)]"
18,interdependence,0.33396733,"[('interdependence', 1.0), ('interdependent', 0.6942646503448486), ('dependence', 0.5595159530639648)]"
19,interdependent,0.29497656,"[('interdependent', 0.9999996423721313), ('interdependence', 0.6942646503448486), ('interlocking', 0.4536093771457672)]"
20,interlock,0.24009383,"[('interlock', 1.0), ('director_interlocks', 0.5524343252182007), ('interlocking', 0.4042745530605316)]"
21,interlocking,0.25890476,"[('interlocking', 1.0), ('interdependent', 0.4536093771457672), ('interlock', 0.4042745530605316)]"
22,joint_venture,0.26592806,"[('joint_venture', 0.9999998807907104), ('cooperation', 0.4605334997177124), ('merger', 0.38539043068885803)]"
23,merge,0.19795908,"[('merge', 0.9999999403953552), ('merged', 0.704279363155365), ('merger', 0.49434980750083923)]"
24,merged,0.20114884,"[('merged', 0.9999998807907104), ('merge', 0.704279363155365), ('merger', 0.5675815343856812)]"
25,merger,0.2504746,"[('merger', 0.9999998807907104), ('merged', 0.5675815343856812), ('merge', 0.49434980750083923)]"
26,network,0.33089095,"[('network', 0.9999998211860657), ('network', 0.9999998211860657), ('interdependence', 0.41729944944381714)]"
27,network,0.33089095,"[('network', 0.9999998211860657), ('network', 0.9999998211860657), ('interdependence', 0.41729944944381714)]"
28,power,0.32104355,"[('power', 0.9999999403953552), ('influence', 0.5499494075775146), ('dominance', 0.5162322521209717)]"
29,pressure,0.22744486,"[('pressure', 1.0), ('external', 0.41902947425842285), ('influence', 0.401926189661026)]"
30,resource_dependence,0.2945941,"[('resource_dependence', 0.9999998807907104), ('external', 0.4480305016040802), ('dependence', 0.4197292923927307)]"
31,sanction,0.15565969,"[('sanction', 0.9999998807907104), ('cooperate', 0.3296361565589905), ('constrain', 0.26243579387664795)]"
32,vertical,0.28484118,"[('vertical', 0.9999998211860657), ('horizontal', 0.8157655000686646), ('interdependence', 0.4362127482891083)]"
0,acquisitions,0.24006155,"[('merger', 0.5476224422454834), ('diversification', 0.5383935570716858), ('joint_venture', 0.4762296676635742)]"
1,alliance,0.29733354,"[('joint_venture', 0.6263477206230164), ('network', 0.49704164266586304), ('network', 0.49704164266586304)]"
2,alliance_formation,0.26098678,"[('network', 0.47850272059440613), ('network', 0.47850272059440613), ('director_interlocks', 0.4409571886062622)]"
3,alliances,0.3019715,"[('joint_venture', 0.5962423086166382), ('cooperation', 0.4836565852165222), ('director_interlocks', 0.47899556159973145)]"
4,board,0.2579209,"[('board_directors', 0.7937781810760498), ('interlock', 0.36754828691482544), ('influence', 0.3591856360435486)]"
5,board_directors,0.2492969,"[('board_directors', 1.0), ('director_interlocks', 0.3823855221271515), ('interlock', 0.3735746145248413)]"
6,boards_directors,0.24532561,"[('board_directors', 0.7206122875213623), ('resource_dependence', 0.43261533975601196), ('director_interlocks', 0.3936830163002014)]"
7,coalition,0.22594878,"[('coalition', 1.0000001192092896), ('cooperate', 0.36079734563827515), ('cooperation', 0.34516996145248413)]"
8,coalitions,0.25616428,"[('coalition', 0.7720577716827393), ('cooperation', 0.4305763840675354), ('cooperate', 0.42038416862487793)]"
9,collaboration,0.29845706,"[('cooperation', 0.6523699760437012), ('interdependence', 0.5336370468139648), ('network', 0.4965188503265381)]"
10,connections,0.25704533,"[('network', 0.5481668710708618), ('network', 0.5481668710708618), ('interdependence', 0.3989422917366028)]"
11,constrain,0.23067984,"[('constrain', 0.9999998807907104), ('influence', 0.45987293124198914), ('constraint', 0.42804691195487976)]"
12,constraint,0.2436345,"[('constraint', 1.0000001192092896), ('constrain', 0.42804691195487976), ('network', 0.3913898468017578)]"
13,control,0.3210937,"[('control', 0.9999998211860657), ('influence', 0.5555785894393921), ('power', 0.5009723901748657)]"
14,cooperate,0.24782701,"[('cooperate', 1.0000001192092896), ('cooperation', 0.6586781144142151), ('interdependent', 0.37523913383483887)]"
15,cooperation,0.30377945,"[('cooperation', 1.0), ('cooperate', 0.6586781144142151), ('interdependence', 0.5594786405563354)]"
16,cooperative,0.27497673,"[('cooperation', 0.694539487361908), ('cooperate', 0.499614953994751), ('interdependence', 0.4681299924850464)]"
17,dependence,0.29903445,"[('dependence', 0.9999998807907104), ('interdependence', 0.5595159530639648), ('dependent', 0.5505732893943787)]"
18,dependencies,0.24695723,"[('dependence', 0.5643949508666992), ('interdependence', 0.4823758006095886), ('network', 0.4001576900482178)]"
19,dependent,0.25377256,"[('dependent', 1.000000238418579), ('dependence', 0.5505732893943787), ('interdependent', 0.44223302602767944)]"
20,diversification,0.27306986,"[('diversification', 0.9999999403953552), ('diversify', 0.5346834063529968), ('control', 0.3384990692138672)]"
21,diversify,0.20537129,"[('diversify', 1.0000001192092896), ('diversification', 0.5346834063529968), ('merge', 0.28526052832603455)]"
22,dominance,0.2412337,"[('dominance', 1.0), ('power', 0.5162322521209717), ('dependence', 0.3577198088169098)]"
23,exchange,0.26759273,"[('exchange', 1.0), ('cooperation', 0.49784308671951294), ('interdependence', 0.4159191846847534)]"
24,external,0.30704823,"[('external', 0.9999998211860657), ('influence', 0.47327500581741333), ('control', 0.4527829587459564)]"
25,governance_mechanisms,0.25969055,"[('control', 0.4195435047149658), ('board_directors', 0.38270115852355957), ('cooperation', 0.38006365299224854)]"
26,governance_structures,0.25036994,"[('board_directors', 0.38259777426719666), ('vertical', 0.34012705087661743), ('resource_dependence', 0.3293299973011017)]"
27,horizontal,0.26448956,"[('horizontal', 0.9999998807907104), ('vertical', 0.8157654404640198), ('interdependence', 0.40439629554748535)]"
28,independent,0.28086025,"[('dependent', 0.5763276815414429), ('control', 0.42559874057769775), ('interdependent', 0.419650137424469)]"
29,influence,0.32477638,"[('influence', 0.9999998807907104), ('control', 0.5555785894393921), ('power', 0.5499494075775146)]"
30,inter_organizational_networks,skip,skip
31,interdependence,0.33396733,"[('interdependence', 1.0), ('interdependent', 0.6942646503448486), ('dependence', 0.5595159530639648)]"
32,interdependent,0.29497656,"[('interdependent', 0.9999996423721313), ('interdependence', 0.6942646503448486), ('interlocking', 0.4536093771457672)]"
33,interlock,0.24009383,"[('interlock', 1.0), ('director_interlocks', 0.5524343252182007), ('interlocking', 0.4042745530605316)]"
34,interlocking,0.25890476,"[('interlocking', 1.0), ('interdependent', 0.4536093771457672), ('interlock', 0.4042745530605316)]"
35,interlocks,0.24455726,"[('interlock', 0.6836488842964172), ('director_interlocks', 0.6089613437652588), ('network', 0.41348686814308167)]"
36,interorganizational_network,skip,skip
37,interorganizational_networks,skip,skip
38,joint_venture,0.26592806,"[('joint_venture', 0.9999998807907104), ('cooperation', 0.4605334997177124), ('merger', 0.38539043068885803)]"
39,joint_ventures,0.26110354,"[('joint_venture', 0.8325466513633728), ('cooperation', 0.4738852381706238), ('merger', 0.3780921697616577)]"
40,linkages,0.26797554,"[('interdependence', 0.522668719291687), ('interdependent', 0.44922131299972534), ('network', 0.440765380859375)]"
41,merge,0.19795908,"[('merge', 0.9999999403953552), ('merged', 0.704279363155365), ('merger', 0.49434980750083923)]"
42,merged,0.20114884,"[('merged', 0.9999998807907104), ('merge', 0.704279363155365), ('merger', 0.5675815343856812)]"
43,merger,0.2504746,"[('merger', 0.9999998807907104), ('merged', 0.5675815343856812), ('merge', 0.49434980750083923)]"
44,mergers,0.23266199,"[('merger', 0.7878932952880859), ('merged', 0.4744322597980499), ('diversification', 0.44547194242477417)]"
45,networking,0.2439251,"[('network', 0.4634840488433838), ('network', 0.4634840488433838), ('cooperation', 0.4469766616821289)]"
46,resource_dependence,0.2945941,"[('resource_dependence', 0.9999998807907104), ('external', 0.4480305016040802), ('dependence', 0.4197292923927307)]"
47,resource_dependencies,0.25057995,"[('resource_dependence', 0.5485712289810181), ('external', 0.37230873107910156), ('network', 0.35898464918136597)]"
48,vertical,0.28484118,"[('vertical', 0.9999998211860657), ('horizontal', 0.8157655000686646), ('interdependence', 0.4362127482891083)]"
49,vertically_integrated,0.22424987,"[('vertical', 0.4476480484008789), ('diversification', 0.3463168740272522), ('horizontal', 0.3224256932735443)]"
