,term,cosine_sim_with_core, closest_terms_from_core
18,decentralized,0.24448349,"[('control', 0.39728879928588867), ('interdependent', 0.36584892868995667), ('horizontal', 0.339211106300354)]"
19,dependence,0.28229347,"[('dependence', 1.0), ('dependent', 0.5887736082077026), ('interdependence', 0.47718799114227295)]"
20,dependencies,0.26782325,"[('dependence', 0.5103352665901184), ('interdependence', 0.4737757742404938), ('network', 0.4206845164299011)]"
21,dependency,0.23480418,"[('dependence', 0.7652326822280884), ('dependent', 0.5456817150115967), ('interdependence', 0.42060720920562744)]"
22,dependent,0.24515644,"[('dependent', 1.0), ('dependence', 0.5887736082077026), ('interdependent', 0.39549189805984497)]"
23,directors,0.23889355,"[('board_directors', 0.6327453851699829), ('interlock', 0.5255122184753418), ('interlocking', 0.4155977964401245)]"
24,diversification,0.24787195,"[('diversification', 0.9999999403953552), ('diversify', 0.5892391204833984), ('merger', 0.4806649088859558)]"
25,diversified,0.25198358,"[('diversification', 0.6533492803573608), ('diversify', 0.5788856148719788), ('merger', 0.3394993543624878)]"
26,diversify,0.24793512,"[('diversify', 1.0), ('diversification', 0.5892391204833984), ('merge', 0.32103389501571655)]"
27,dominance,0.2453276,"[('dominance', 1.0), ('power', 0.4916457235813141), ('interdependence', 0.3591073453426361)]"
28,exchange,0.26691794,"[('exchange', 0.9999999403953552), ('network', 0.44262731075286865), ('network', 0.44262731075286865)]"
29,exchanges,0.24864218,"[('exchange', 0.6353271007537842), ('cooperation', 0.4218391180038452), ('interdependence', 0.39664143323898315)]"
30,external,0.27886948,"[('external', 1.0), ('resource_dependence', 0.5138654708862305), ('control', 0.44733431935310364)]"
31,governance,0.25280532,"[('resource_dependence', 0.39842328429222107), ('joint_venture', 0.3469812870025635), ('control', 0.3462464213371277)]"
32,horizontal,0.25160074,"[('horizontal', 1.0000001192092896), ('vertical', 0.8096565008163452), ('interdependence', 0.35589268803596497)]"
33,independent,0.2433728,"[('dependent', 0.5877439379692078), ('interdependent', 0.4289795458316803), ('influence', 0.38338610529899597)]"
34,influence,0.28156206,"[('influence', 0.9999998807907104), ('power', 0.5586655735969543), ('control', 0.4983532428741455)]"
35,interdependence,0.31760788,"[('interdependence', 1.0), ('interdependent', 0.6268453598022461), ('cooperation', 0.5235845446586609)]"
36,interdependent,0.28242478,"[('interdependent', 1.0), ('interdependence', 0.6268453598022461), ('interlocking', 0.4371211528778076)]"
37,interlock,0.23916277,"[('interlock', 1.0), ('interlocking', 0.5410715341567993), ('director_interlocks', 0.44794726371765137)]"
38,interlocking,0.2895326,"[('interlocking', 1.0000001192092896), ('interlock', 0.5410715341567993), ('interdependent', 0.4371211528778076)]"
39,interlocks,0.2569389,"[('interlock', 0.7780416011810303), ('interlocking', 0.6110222935676575), ('director_interlocks', 0.5746163129806519)]"
40,joint_venture,0.24145915,"[('joint_venture', 0.9999998807907104), ('merger', 0.3683885931968689), ('cooperation', 0.3674764633178711)]"
41,joint_ventures,0.25699645,"[('joint_venture', 0.8398683071136475), ('diversification', 0.3994206190109253), ('cooperation', 0.3645249307155609)]"
42,link,0.24346086,"[('network', 0.3963157534599304), ('network', 0.3963157534599304), ('influence', 0.3844175636768341)]"
43,linkages,0.30041838,"[('interdependence', 0.5268866419792175), ('interlocking', 0.4690251350402832), ('network', 0.43790119886398315)]"
44,links,0.25094536,"[('network', 0.43953782320022583), ('network', 0.43953782320022583), ('interlocking', 0.4262467622756958)]"
45,merger,0.22583434,"[('merger', 1.0), ('diversification', 0.4806649088859558), ('merged', 0.46390849351882935)]"
46,mergers,0.22225776,"[('merger', 0.799042284488678), ('diversification', 0.58154296875), ('merged', 0.3947986960411072)]"
47,resource_dependence,0.28045002,"[('resource_dependence', 1.0000001192092896), ('external', 0.5138654708862305), ('director_interlocks', 0.45688503980636597)]"
48,vertical,0.26430285,"[('vertical', 1.0), ('horizontal', 0.8096565008163452), ('diversification', 0.354740172624588)]"
49,vertically_integrated,0.25014147,"[('diversification', 0.502779483795166), ('vertical', 0.4406887888908386), ('diversify', 0.41333526372909546)]"
